,X,Y,Rent
0,59.951063,30.2343093,900.0
1,59.858804,30.199274,633.3333333333334
2,59.913083,30.3280144,1250.0
3,59.839669,30.350828,720.0
4,59.979444,30.510961,615.3846153846154
5,59.819382,30.340976,653.8461538461538
6,59.83928,30.349819,551.7241379310345
7,59.831349,30.324456,938.7755102040817
8,59.958687,30.3008949,1093.75
9,60.032092,30.145592,520.0
10,59.951063,30.2343093,900.0
11,59.939577,30.496445,566.6666666666666
12,59.841055,30.347816,892.8571428571429
13,60.070608,30.324205,592.5925925925926
14,59.84522,30.109804,630.2521008403361
15,59.939996,30.205798,716.8458781362008
16,60.031954,30.3071669,640.0
17,60.005931,30.197919,660.377358490566
18,59.956277,30.289971,740.7407407407408
19,59.956277,30.289971,714.2857142857143
20,60.021642,30.255494,740.7407407407408
21,59.962974,30.3109759,1562.5
22,60.061054,30.306807,627.177700348432
23,59.935295,30.3108136,2515.7232704402513
24,59.935295,30.3108136,2347.417840375587
25,59.939293,30.437024,733.3333333333334
26,59.935295,30.3108136,2439.0243902439024
27,59.826302,30.332478,703.7037037037037
28,59.936361,30.219709,774.1935483870968
29,59.863649,30.515078,551.7241379310345
30,60.06974542,30.31102313,642.8571428571429
31,60.012663,30.3811018,857.1428571428571
32,59.99119,30.328114,888.8888888888889
33,59.837952,30.354733,714.2857142857143
34,59.91884,30.2929726,1000.0
35,59.975991,30.386745,769.2307692307693
36,59.838481,30.352813,720.0
37,60.056077,30.31205,661.7647058823529
38,59.936251,30.204477,814.8148148148148
39,59.8321,30.325732,678.5714285714286
40,60.075567,30.343577,692.3076923076923
41,59.964973,30.3063929,958.3333333333334
42,59.861205,30.161987,421.05263157894734
43,60.033976,30.237427,760.0
44,59.981535,30.38822,740.7407407407408
45,59.851846,30.137705,642.8571428571429
46,59.948879,30.262814,967.741935483871
47,59.851846,30.137705,666.6666666666666
48,59.92336,30.453463,823.5294117647059
49,59.834774,30.5156902,814.8148148148148
50,59.834774,30.5156902,916.6666666666666
51,59.902274,30.3309587,1200.0
52,59.843923,30.110639,400.0
53,59.843923,30.110639,576.9230769230769
54,60.082305,30.343841,555.5555555555555
55,59.983682,30.314752,1060.6060606060605
56,59.841351,30.306669,1020.4081632653061
57,60.075567,30.343577,600.0
58,60.078342,30.350705,695.6521739130435
59,59.841351,30.306669,851.8518518518518
60,59.831956,30.333448,1277.7777777777778
61,59.841055,30.347816,892.8571428571429
62,59.853125,30.139726,760.0
63,59.935295,30.3108136,2710.843373493976
64,60.068984,30.3028263,714.2857142857143
65,59.935295,30.3108136,2926.829268292683
66,59.935295,30.3108136,2573.529411764706
67,59.935295,30.3108136,2590.6735751295337
68,59.862298,30.184238,586.2068965517242
69,60.000619,30.208097,718.75
70,59.832259,30.5469996,535.7142857142857
71,60.001371,30.299422,1166.6666666666667
72,60.003669,30.288802,961.5384615384615
73,60.035958,30.222569,640.0
74,59.844081,30.108366,555.5555555555555
75,59.842544,30.305861,739.1304347826087
76,59.829161,30.541462,640.0
77,59.829161,30.541462,680.0
78,60.070355,30.316227,666.6666666666666
79,59.983671,30.356714,1000.0
80,59.923013,30.3417427,1206.896551724138
81,59.875171,30.403086,625.0
82,59.872138,30.3328404,1000.0
83,59.993064,30.356059,870.9677419354839
84,59.931704,30.4262033,740.7407407407408
85,59.794646,30.157706,538.4615384615385
86,59.942546,30.2598871,1166.6666666666667
87,59.84522,30.109804,541.6666666666666
88,59.839669,30.350828,740.7407407407408
89,59.84345,30.357554,724.1379310344828
90,59.999697,30.216572,766.6666666666666
91,59.885088,30.3690464,1000.0
92,59.856835,30.316317,766.6666666666666
93,59.929949,30.3376872,1142.857142857143
94,59.923013,30.3417427,1435.8974358974358
95,59.993293,30.356948,909.0909090909091
96,59.852963,30.155878,720.0
97,60.030649,30.142412,625.0
98,60.027649,30.223744,812.7208480565371
99,59.860617,30.192583,629.6296296296297
100,59.941124,30.3492239,821.4285714285714
101,59.853441,30.146316,640.0
102,59.851739,30.142089,743.8016528925621
103,59.82362,30.337491,846.1538461538462
104,59.931918,30.407946,1145.8333333333333
105,59.888379,30.313766,807.6923076923077
106,59.939293,30.437024,821.4285714285714
107,60.038079,30.228956,640.0
108,59.928524,30.3219634,1111.111111111111
109,59.983635,30.397869,760.0
110,60.078342,30.350705,833.3333333333334
111,59.837952,30.354733,600.0
112,59.98805,30.365635,781.25
113,60.03771,30.225579,687.5
114,59.838859,30.350763,760.0
115,59.900146,30.307604,1111.111111111111
116,60.069885,30.325956,678.5714285714286
117,59.834564,30.4024258,1000.0
118,59.937991,30.440132,961.5384615384615
119,60.036577,30.393716,850.2024291497976
120,59.981535,30.38822,666.6666666666666
121,59.83092,30.246024,642.8571428571429
122,59.853392,30.155321,600.0
123,59.93687,30.204205,600.0
124,59.905348,30.314655,1074.0740740740741
125,59.84345,30.357554,749.0636704119851
126,59.953711,30.2419584,795.4545454545455
127,60.039414,30.224294,800.0
128,59.84522,30.109804,600.0
129,59.859926,30.208797,592.5925925925926
130,59.935436,30.2571413,1111.111111111111
131,59.92952,30.258843,962.9629629629629
132,59.84522,30.109804,666.6666666666666
133,59.862296,30.3145745,967.741935483871
134,60.004267,30.223323,1120.0
135,60.038079,30.228956,916.6666666666666
136,59.82509,30.333071,785.7142857142857
137,60.035958,30.222569,700.0
138,60.035958,30.222569,700.0
139,59.859036,30.197506,629.6296296296297
140,59.936873,30.201944,800.0
141,59.840722,30.10409,680.0
142,59.913183,30.2787631,620.6896551724138
143,60.042415,30.224716,750.0
144,59.84345,30.357554,720.0
145,59.923013,30.3417427,1428.5714285714287
146,59.923013,30.3417427,1346.1538461538462
147,59.841351,30.306669,640.0
148,60.068984,30.3028263,666.6666666666666
149,59.821675,30.327506,642.8571428571429
150,60.040358,30.40903,655.1724137931035
151,59.905547,30.319012,1617.6470588235295
152,59.905547,30.319012,1800.0
153,59.952222,30.2315758,1000.0
154,59.946987,30.342027,1562.5
155,60.070608,30.324205,607.1428571428571
156,59.888379,30.313766,875.0
157,60.038767,30.221167,700.0
158,59.925991,30.3452598,882.3529411764706
159,59.923013,30.3417427,1315.7894736842104
160,59.819047,30.327609,666.6666666666666
161,59.952402,30.257056,555.5555555555555
162,59.930857,30.4111459,800.0
163,59.858024,30.196575,550.0
164,60.000726,30.221482,920.0
165,59.819382,30.340976,629.6296296296297
166,60.033976,30.237427,428.57142857142856
167,59.843869,30.22415,777.7777777777778
168,59.860048,30.193526,784.3137254901961
169,59.996655,30.274627,833.3333333333334
170,59.820553,30.327591,933.3333333333334
171,59.819047,30.327609,793.1034482758621
172,59.819382,30.340976,714.2857142857143
173,59.843869,30.22415,620.6896551724138
174,59.892752,30.4294961,742.4242424242424
175,59.85045795,30.13489025,800.0
176,59.76091,30.325408,562.5
177,59.93687,30.204205,733.3333333333334
178,59.841351,30.306669,800.0
179,59.863206,30.50332,750.0
180,60.071472,30.23616,625.0
181,59.83092,30.246024,760.0
182,59.91414,30.3465106,1045.4545454545455
183,59.97599,30.386745,629.6296296296297
184,59.92952,30.258843,982.7586206896551
185,60.000619,30.208097,625.7142857142857
186,59.840722,30.10409,714.2857142857143
187,60.041112,30.409994,555.5555555555555
188,59.843923,30.110639,680.0
189,60.078342,30.350705,548.3870967741935
190,59.92252,30.3269473,1058.8235294117646
191,59.994275,30.1585411,1000.0
192,59.929292,30.3810957,1400.0
193,59.94260599,30.37736393,1071.4285714285713
194,60.027962,30.247273,692.3076923076923
195,60.035958,30.222569,692.3076923076923
196,59.831349,30.324456,884.6153846153846
197,60.042415,30.224716,680.0
198,60.01843541,30.24834975,716.6666666666666
199,59.919734,30.370306,813.953488372093
200,60.035958,30.222569,692.3076923076923
201,59.939293,30.437024,857.1428571428571
202,59.863116,30.51401,553.5055350553505
203,60.036758,30.226369,841.1214953271028
204,59.97383,30.3033404,1083.3333333333333
205,59.832983,30.1933343,800.0
206,59.933736,30.3474959,1071.4285714285713
207,59.939293,30.437024,892.8571428571429
208,59.923013,30.3417427,1400.0
209,60.037049,30.223854,760.0
210,59.831349,30.324456,833.3333333333334
211,59.841975,30.113128,640.0
212,60.053107,30.32517,750.0
213,59.900146,30.307604,800.0
214,59.894915,30.463587,927.4193548387096
215,59.937391,30.3447961,1500.0
216,59.873297,30.334432,833.3333333333334
217,59.997041,30.272677,846.1538461538462
218,59.992821,30.171024,500.0
219,59.851846,30.137705,892.8571428571429
220,60.041099,30.221608,766.1290322580645
221,59.83150562,30.32987406,782.6086956521739
222,60.031571,30.233304,1000.0
223,60.031571,30.233304,938.7755102040817
224,59.873297,30.334432,1031.25
225,59.925801,30.3719629,1111.111111111111
226,59.957444,30.242557,1176.4705882352941
227,59.837703,30.11363,653.8461538461538
228,60.041112,30.409994,605.2631578947369
229,59.953524,30.3005551,1500.0
230,59.962397,30.269952,1375.0
231,59.842544,30.305861,800.0
232,60.032308,30.401208,720.0
233,59.829161,30.541462,565.2173913043479
234,59.993064,30.356059,1296.2962962962963
235,59.993064,30.356059,869.5652173913044
